153.054, 129.472, 6.395, 50.800 False
152.427, 129.472, 6.224, 51.000 False
151.817, 129.471, 6.041, 51.200 False
151.225, 129.470, 5.868, 51.400 False
150.648, 129.470, 5.722, 51.600 False
150.084, 129.469, 5.588, 51.800 False
149.533, 129.469, 5.453, 52.000 False
148.995, 129.468, 5.333, 52.200 False
148.466, 129.468, 5.273, 52.400 False
147.936, 129.468, 5.317, 52.600 False
147.394, 129.468, 5.483, 52.800 False
146.827, 129.468, 5.794, 53.000 False
146.222, 129.468, 6.159, 53.200 False
145.593, 129.467, 6.341, 53.400 False
144.960, 129.467, 6.313, 53.600 False
144.340, 129.468, 6.169, 53.800 False
143.735, 129.468, 5.995, 54.000 False
143.148, 129.468, 5.824, 54.200 False
142.576, 129.468, 5.651, 54.400 False
142.022, 129.472, 5.488, 54.600 False
141.480, 129.474, 5.382, 54.800 False
140.945, 129.476, 5.338, 55.000 False
140.408, 129.478, 5.378, 55.200 False
139.860, 129.480, 5.552, 55.400 False
139.283, 129.481, 5.905, 55.600 False
138.668, 129.483, 6.254, 55.800 False
138.031, 129.485, 6.413, 56.000 False
137.393, 129.487, 6.364, 56.200 False
136.768, 129.489, 6.201, 56.400 False
136.161, 129.490, 6.024, 56.600 False
135.570, 129.492, 5.853, 56.800 False
134.995, 129.493, 5.696, 57.000 False
134.434, 129.494, 5.565, 57.200 False
133.884, 129.495, 5.455, 57.400 False
133.344, 129.496, 5.378, 57.600 False
132.809, 129.494, 5.320, 57.800 False
132.283, 129.493, 5.189, 58.000 False
131.780, 129.493, 4.919, 58.200 False
131.313, 129.493, 4.514, 58.400 False
130.889, 129.496, 4.080, 58.600 False
130.508, 129.496, 3.657, 58.800 False
130.165, 129.497, 3.273, 59.000 False
129.859, 129.497, 2.926, 59.200 False
129.584, 129.497, 2.616, 59.400 False
129.339, 129.497, 2.338, 59.600 False
129.119, 129.497, 2.089, 59.800 False
128.923, 129.497, 1.867, 60.000 False
128.747, 129.497, 1.669, 60.200 False
128.590, 129.496, 1.492, 60.400 False
128.449, 129.496, 1.334, 60.600 False
128.324, 129.496, 1.193, 60.800 False
128.211, 129.496, 1.066, 61.000 False
128.111, 129.496, 0.954, 61.200 False
128.021, 129.496, 0.853, 61.400 False
127.941, 129.496, 0.763, 61.600 False
127.869, 129.496, 0.682, 61.800 False
127.805, 129.496, 0.610, 62.000 False
127.747, 129.496, 0.545, 62.200 False
127.696, 129.496, 0.488, 62.400 False
127.650, 129.495, 0.436, 62.600 False
127.609, 129.495, 0.390, 62.800 False
127.572, 129.495, 0.349, 63.000 False
127.539, 129.495, 0.312, 63.200 False
127.510, 129.495, 0.279, 63.400 False
127.483, 129.495, 0.250, 63.600 False
127.460, 129.495, 0.223, 63.800 False
127.439, 129.495, 0.200, 64.000 False
127.420, 129.495, 0.178, 64.200 False
127.403, 129.495, 0.160, 64.400 False
127.388, 129.495, 0.143, 64.600 False
127.375, 129.495, 0.128, 64.800 False
127.364, 129.495, 0.103, 65.000 False
127.356, 129.495, 0.073, 65.200 False
127.350, 129.495, 0.057, 65.400 False
127.345, 129.495, 0.055, 65.600 False
127.329, 129.495, 0.269, 65.800 False
127.275, 129.495, 0.776, 66.000 False
